date,buy_and_hold,yield_trend_63d,curve_mean_reversion,vol_scaled_trend,rule_blend,l1_logistic_walkforward
2019-01-02,1.0,1.0,-1.0,1.2244688216249442,0.19999999999999996,1.0
2019-01-03,1.0,1.0,-1.0,1.2203562114874593,0.19999999999999996,1.0
2019-01-04,1.0,1.0,-1.0,1.1587595336974073,0.19999999999999996,1.0
2019-01-07,1.0,1.0,-1.0,1.0880157921790474,0.19999999999999996,1.0
2019-01-08,1.0,1.0,-1.0,1.086882262275062,0.19999999999999996,1.0
2019-01-09,1.0,1.0,-1.0,1.1428926020913264,0.19999999999999996,1.0
2019-01-10,1.0,1.0,-1.0,1.1545310766520747,0.19999999999999996,1.0
2019-01-11,1.0,1.0,-1.0,1.1683553502596167,0.19999999999999996,1.0
2019-01-14,1.0,1.0,-1.0,1.1660106072152938,0.19999999999999996,1.0
2019-01-15,1.0,1.0,-1.0,1.167643994227115,0.19999999999999996,1.0
2019-01-16,1.0,1.0,-1.0,1.2007280840481624,0.19999999999999996,1.0
2019-01-17,1.0,1.0,-1.0,1.2006304442739468,0.19999999999999996,1.0
2019-01-18,1.0,1.0,-1.0,1.1973909270674414,0.19999999999999996,1.0
2019-01-22,1.0,1.0,-1.0,1.1825016867027285,0.19999999999999996,1.0
2019-01-23,1.0,1.0,-1.0,1.1782588172151844,0.19999999999999996,1.0
2019-01-24,1.0,1.0,-1.0,1.1744747749181503,0.19999999999999996,1.0
2019-01-25,1.0,1.0,-1.0,1.1760188870856165,0.19999999999999996,0.0
2019-01-28,1.0,1.0,-1.0,1.1612794670490292,0.19999999999999996,0.0
2019-01-29,1.0,1.0,-1.0,1.164636387666773,0.19999999999999996,0.0
2019-01-30,1.0,1.0,-1.0,1.1874618040134393,0.19999999999999996,1.0
2019-01-31,1.0,1.0,-1.0,1.20108971721136,0.19999999999999996,1.0
2019-02-01,1.0,1.0,-1.0,1.191821129475898,0.19999999999999996,1.0
2019-02-04,1.0,1.0,-1.0,1.1518475919397637,0.19999999999999996,1.0
2019-02-05,1.0,1.0,0.0,1.156640311162815,0.6,1.0
2019-02-06,1.0,1.0,0.0,1.1638947601734477,0.6,1.0
2019-02-07,1.0,1.0,0.0,1.1638939179633705,0.6,1.0
2019-02-08,1.0,1.0,0.0,1.2033953792153689,0.6,1.0
2019-02-11,1.0,1.0,0.0,1.203344805629857,0.6,1.0
2019-02-12,1.0,1.0,0.0,1.2029904298996104,0.6,1.0
2019-02-13,1.0,1.0,0.0,1.1925393665974975,0.6,1.0
2019-02-14,1.0,1.0,0.0,1.1874432218736652,0.6,1.0
2019-02-15,1.0,1.0,0.0,1.1868072910500793,0.6,1.0
2019-02-19,1.0,1.0,-1.0,1.1984520514878483,0.19999999999999996,1.0
2019-02-20,1.0,1.0,-1.0,1.1995054952825859,0.19999999999999996,1.0
2019-02-21,1.0,1.0,-1.0,1.1991622471991414,0.19999999999999996,1.0
2019-02-22,1.0,1.0,-1.0,1.1871541390760136,0.19999999999999996,1.0
2019-02-25,1.0,1.0,0.0,1.1804450240251838,0.6,1.0
2019-02-26,1.0,1.0,0.0,1.1758867484653117,0.6,1.0
2019-02-27,1.0,1.0,0.0,1.1723151986620988,0.6,1.0
2019-02-28,1.0,1.0,0.0,1.1513457521299573,0.6,1.0
2019-03-01,1.0,1.0,1.0,1.1420961084133687,1.0,1.0
2019-03-04,1.0,1.0,1.0,1.134614705925225,1.0,1.0
2019-03-05,1.0,1.0,0.0,1.1273004238674613,0.6,1.0
2019-03-06,1.0,1.0,0.0,1.1308085163428816,0.6,1.0
2019-03-07,1.0,1.0,0.0,1.1283324077613375,0.6,1.0
2019-03-08,1.0,1.0,0.0,1.1198442935023254,0.6,1.0
2019-03-11,1.0,1.0,0.0,1.143734513129745,0.6,1.0
2019-03-12,1.0,1.0,0.0,1.1480654856128047,0.6,1.0
2019-03-13,1.0,1.0,0.0,1.1453026085104634,0.6,1.0
2019-03-14,1.0,1.0,0.0,1.1452973421778876,0.6,1.0
2019-03-15,1.0,1.0,0.0,1.1537774874076532,0.6,1.0
2019-03-18,1.0,1.0,0.0,1.1494146555253522,0.6,1.0
2019-03-19,1.0,1.0,-1.0,1.1481094821383058,0.19999999999999996,1.0
2019-03-20,1.0,1.0,-1.0,1.1482081418999102,0.19999999999999996,1.0
2019-03-21,1.0,1.0,-1.0,1.1253757918661107,0.19999999999999996,1.0
2019-03-22,1.0,1.0,-1.0,1.1327127980059295,0.19999999999999996,1.0
2019-03-25,1.0,1.0,-1.0,1.0909111747058562,0.19999999999999996,1.0
2019-03-26,1.0,1.0,0.0,1.0943473756414859,0.6,1.0
2019-03-27,1.0,1.0,0.0,1.0934001443678656,0.6,1.0
2019-03-28,1.0,1.0,0.0,1.1031175835929803,0.6,1.0
2019-03-29,1.0,1.0,0.0,1.137197296362245,0.6,1.0
2019-04-01,1.0,1.0,-1.0,1.139843735056939,0.19999999999999996,1.0
2019-04-02,1.0,1.0,-1.0,1.1076916871304294,0.19999999999999996,1.0
2019-04-03,1.0,1.0,0.0,1.1115149931088373,0.6,1.0
2019-04-04,1.0,1.0,1.0,1.1050012271253762,1.0,1.0
2019-04-05,1.0,1.0,1.0,1.1648244357351958,1.0,1.0
2019-04-08,1.0,1.0,0.0,1.2596107290354153,0.6,1.0
2019-04-09,1.0,1.0,0.0,1.2642497397711765,0.6,1.0
2019-04-10,1.0,1.0,0.0,1.2733370165673927,0.6,1.0
2019-04-11,1.0,1.0,0.0,1.2688970492729383,0.6,1.0
2019-04-12,1.0,1.0,0.0,1.258967411197759,0.6,1.0
2019-04-15,1.0,1.0,0.0,1.2412742910616485,0.6,1.0
2019-04-16,1.0,1.0,-1.0,1.2408526881052706,0.19999999999999996,0.0
2019-04-17,1.0,1.0,0.0,1.2201697059047356,0.6,1.0
2019-04-18,1.0,1.0,1.0,1.2207813361894326,1.0,1.0
2019-04-22,1.0,1.0,1.0,1.2222779635343846,1.0,1.0
2019-04-23,1.0,1.0,1.0,1.2324454641158789,1.0,1.0
2019-04-24,1.0,1.0,1.0,1.2478580144079725,1.0,1.0
2019-04-25,1.0,1.0,1.0,1.240961529507129,1.0,1.0
2019-04-26,1.0,1.0,1.0,1.2505380830471635,1.0,1.0
2019-04-29,1.0,1.0,1.0,1.260219840105951,1.0,1.0
2019-04-30,1.0,1.0,1.0,1.250890676780788,1.0,1.0
2019-05-01,1.0,1.0,1.0,1.250788911315132,1.0,1.0
2019-05-02,1.0,1.0,1.0,1.2517261822421102,1.0,1.0
2019-05-03,1.0,1.0,1.0,1.2825521803568363,1.0,1.0
2019-05-06,1.0,1.0,1.0,1.331054577481748,1.0,1.0
2019-05-07,1.0,1.0,1.0,1.3345086837536675,1.0,1.0
2019-05-08,1.0,1.0,0.0,1.3056953534146143,0.6,1.0
2019-05-09,1.0,1.0,0.0,1.2879361257284099,0.6,1.0
2019-05-10,1.0,1.0,0.0,1.295339701255358,0.6,1.0
2019-05-13,1.0,1.0,1.0,1.2931393252844985,1.0,1.0
2019-05-14,1.0,1.0,1.0,1.2578319327509324,1.0,1.0
2019-05-15,1.0,1.0,1.0,1.2626207081843022,1.0,1.0
2019-05-16,1.0,1.0,1.0,1.2550266286909717,1.0,1.0
2019-05-17,1.0,1.0,1.0,1.261764735919101,1.0,1.0
2019-05-20,1.0,1.0,1.0,1.2616189482846691,1.0,1.0
2019-05-21,1.0,1.0,1.0,1.256869463611672,1.0,1.0
2019-05-22,1.0,1.0,0.0,1.2521549437521733,0.6,1.0
2019-05-23,1.0,1.0,0.0,1.2574166403652316,0.6,1.0
2019-05-24,1.0,1.0,0.0,1.220608665910992,0.6,1.0
2019-05-28,1.0,1.0,0.0,1.2237047307332223,0.6,1.0
2019-05-29,1.0,1.0,-1.0,1.205011565115596,0.19999999999999996,1.0
2019-05-30,1.0,1.0,-1.0,1.2294312544578676,0.19999999999999996,1.0
2019-05-31,1.0,1.0,-1.0,1.243289431698392,0.19999999999999996,1.0
2019-06-03,1.0,1.0,0.0,1.2135266215750433,0.6,1.0
2019-06-04,1.0,1.0,1.0,1.1920152066295095,1.0,1.0
2019-06-05,1.0,1.0,1.0,1.1661142383815746,1.0,1.0
2019-06-06,1.0,1.0,1.0,1.1683839668017015,1.0,1.0
2019-06-07,1.0,1.0,1.0,1.1795712717504123,1.0,1.0
2019-06-10,1.0,1.0,1.0,1.1770688172692334,1.0,1.0
