,entry,exit,n_trades,win_rate,total_return,max_drawdown
69,0.5700000000000001,0.42999999999999994,2,1.0,0.0498782624524996,0.0
70,0.5700000000000001,0.41999999999999993,0,,0.0,0.0
71,0.5700000000000001,0.4099999999999999,0,,0.0,0.0
72,0.5800000000000001,0.49,0,,-0.3664082091283931,-0.7840475762605124
73,0.5800000000000001,0.48,44,0.5,0.17174927613353108,-0.7210382308587697
74,0.5800000000000001,0.47,473,0.7780126849894292,71603.73313544312,-0.6810670627058726
75,0.5800000000000001,0.45999999999999996,1037,0.8553519768563163,2237051883.381789,-0.7339573655136129
76,0.5800000000000001,0.44999999999999996,1160,0.8379310344827586,7702322588.456901,-0.5618444852576963
77,0.5800000000000001,0.43999999999999995,291,0.9175257731958762,519.8695326701404,-0.06547619047619035
78,0.5800000000000001,0.42999999999999994,2,1.0,0.0498782624524996,0.0
79,0.5800000000000001,0.41999999999999993,0,,0.0,0.0
80,0.5800000000000001,0.4099999999999999,0,,0.0,0.0
81,0.5900000000000001,0.49,0,,-0.3664082091283931,-0.7840475762605124
82,0.5900000000000001,0.48,44,0.5,0.17174927613353108,-0.7210382308587697
83,0.5900000000000001,0.47,473,0.7780126849894292,71603.73313544312,-0.6810670627058726
84,0.5900000000000001,0.45999999999999996,1037,0.8553519768563163,2237051883.381789,-0.7339573655136129
85,0.5900000000000001,0.44999999999999996,1160,0.8379310344827586,7702322588.456901,-0.5618444852576963
86,0.5900000000000001,0.43999999999999995,291,0.9175257731958762,519.8695326701404,-0.06547619047619035
87,0.5900000000000001,0.42999999999999994,2,1.0,0.0498782624524996,0.0
88,0.5900000000000001,0.41999999999999993,0,,0.0,0.0
89,0.5900000000000001,0.4099999999999999,0,,0.0,0.0
90,0.6000000000000001,0.49,0,,-0.3664082091283931,-0.7840475762605124
91,0.6000000000000001,0.48,44,0.5,0.17174927613353108,-0.7210382308587697
92,0.6000000000000001,0.47,473,0.7780126849894292,71603.73313544312,-0.6810670627058726
93,0.6000000000000001,0.45999999999999996,1037,0.8553519768563163,2237051883.381789,-0.7339573655136129
94,0.6000000000000001,0.44999999999999996,1160,0.8379310344827586,7702322588.456901,-0.5618444852576963
95,0.6000000000000001,0.43999999999999995,291,0.9175257731958762,519.8695326701404,-0.06547619047619035
96,0.6000000000000001,0.42999999999999994,2,1.0,0.0498782624524996,0.0
97,0.6000000000000001,0.41999999999999993,0,,0.0,0.0
98,0.6000000000000001,0.4099999999999999,0,,0.0,0.0
