date,US1M,US3M,US6M,US1Y,US2Y,US3Y,US5Y,US7Y,US10Y,US20Y,US30Y,SMA_5,SMA_20,RSI_14,Signal,Position,Yield_Return,Strategy_Return,Cumulative_Yield,Cumulative_Strategy,Target,SMA_diff,pct_change,lag_1,lag_2,volatility_3d,momentum_3d,roc_5d,rolling_sharpe_5,z_score_10,volatility_band,momentum_z,roc_volatility,prob,Daily_Return,Cumulative_Return,Benchmark_CumReturn,MACD,BB_width,RSI_trend,PC1,PC2,PC3
2001-10-29,2.24,2.09,2.04,2.18,2.55,2.99,3.82,4.22,4.5,5.24,5.25,4.588,4.616666666666666,36.90508306187591,-0.8240780436094737,0.0,-0.0066225165562914,-0.0,110.83743842364436,349.489762773154,0,-0.2842370686905653,-0.0066225165562914,1.1849417393125088,1.2110338022510239,-0.7800440399825824,-0.7980404408559152,-0.7591082884967482,-1.420096855863079,-1.5193197900162205,-1.1546145311930858,0.5578759102918331,-0.2803613531674984,0.4419775734082031,-0.0,1.0,0.9782608695652182,-1.0729240400120013,-1.2919240495371325,-0.2493771455672673,-2.559971926929377,2.155620570774374,-0.7141987914026164
2001-10-30,2.17,2.05,1.97,2.11,2.48,2.92,3.76,4.14,4.44,5.21,5.22,4.573,4.610333333333333,32.9415876004561,-0.8240780436094737,0.0,-0.0133333333333331,-0.0,109.35960591132914,349.489762773154,0,-0.36254551473126523,-0.0133333333333331,1.1582542592005314,1.1843418529338152,-0.6705419241813656,-0.8818340854829855,-1.2865096526027708,-5.962076541472156,-1.658361227796418,-1.6406630637619528,0.8246016009947877,-0.19924457043298868,0.44035085820429193,-0.0,1.0,0.9652173913043488,-1.322843562812613,-1.123150166926123,-0.492677136747078,-4.8446561061508415,2.0823542170061917,-0.1998710274001795
2001-10-31,2.15,2.05,1.95,2.07,2.44,2.87,3.66,4.03,4.3,5.05,4.89,4.5440000000000005,4.596333333333333,25.94092553745289,-0.8240780436094737,0.0,-0.0315315315315316,-0.0,105.9113300492602,349.489762773154,0,-0.49807936364785954,-0.0315315315315316,1.1048792989765774,1.1576499036166057,0.42796241647759703,-1.716720596231358,-1.8387827503117706,-2.408662306760412,-1.8895859712451817,-0.7766206653662514,2.7265597714934273,-0.9474736272894909,0.4483479095801949,-0.0,1.0,0.934782608695653,-1.8340788601786133,-0.6201226202401969,-1.4414878316932502,-4.525508535605323,0.6758845811802673,-0.5661925395238168
2001-11-01,2.18,2.06,1.99,2.1,2.49,2.91,3.66,4.01,4.24,5.0,4.79,4.51,4.581333333333333,23.6237869805813,-0.8240780436094737,0.0,-0.0139534883720929,-0.0,104.43349753694493,349.489762773154,1,-0.669755572275558,-0.0139534883720929,0.9803377251206835,1.1042660049821875,0.7506987033593304,-1.9558564189774608,-1.919558949082367,-2.5516183847017353,-1.573347686499888,-0.7916127835167616,2.5618915818135806,-0.9761370760545348,0.47257296927128367,-0.0,1.0,0.9217391304347836,-2.3544560020928413,-0.09849387840348708,-1.5305544690211026,-4.7091542326951155,0.24327521595940302,-0.8130944373340356
2001-11-02,2.09,2.01,1.94,2.07,2.48,2.93,3.77,4.12,4.37,5.14,4.96,4.484,4.568666666666667,36.79673143481574,-0.8240780436094737,0.0,0.0306603773584905,0.0,107.63546798029466,349.489762773154,0,-0.7902301046458697,0.0306603773584905,0.9269627648967296,0.9797035748352105,1.5134987784138108,-0.521686437734798,-0.9587480528946852,-0.5107742371280402,-0.6351017361432297,0.7009912098072117,-0.3881826597658845,-1.1039210469868177,0.441724529080256,0.0,1.0,0.9500000000000011,-2.425369437188216,0.05162200731740591,-0.3704141298947559,-2.276456552816921,-0.38560185257969265,-1.4986506359317642
2001-11-05,2.06,2.01,1.96,2.05,2.46,2.91,3.71,4.07,4.31,5.06,4.86,4.452,4.555666666666667,33.891331314170486,-0.8240780436094737,0.0,-0.0137299771167048,-0.0,106.1576354679794,349.489762773154,0,-0.9619063132735601,-0.0137299771167048,1.0426085120486306,0.9263196762007924,0.7298090143663079,0.09590043268911361,-1.149009961693094,-0.6191331972507765,-0.8077348982847444,0.7236190468754172,-0.8453178916666925,-1.3283272768757113,0.445161019522859,-0.0,1.0,0.9369565217391316,-2.594026708924482,0.2807386100883728,-0.3674025943196675,-2.4338506240998736,-0.05800279185009252,-1.7029128400996183
2001-11-06,1.98,1.85,1.83,1.97,2.37,2.76,3.54,4.03,4.3,5.05,4.86,4.416,4.541333333333332,33.41773625033889,-0.8240780436094737,0.0,-0.0023201856148491,-0.0,105.9113300492602,349.489762773154,0,-1.1576774283752935,-0.0023201856148491,0.9892335518246758,1.0419847899086991,0.21766832819543436,0.4995844836728457,-0.8543139676468982,-0.44540495293253535,-0.7235314998685313,0.7159487541126428,-1.1649470151207373,-0.9922087325038949,0.44280165272823224,-0.0,1.0,0.9347826086956533,-2.718737706093969,0.46369831638166054,-0.5633824784514304,-2.0410421228739297,0.1930769114390428,-2.0865730186114484
2001-11-07,1.93,1.8,1.75,1.93,2.32,2.7,3.47,3.95,4.22,4.95,4.79,4.377000000000001,4.524666666666666,29.826857744591265,-0.8240780436094737,0.0,-0.0186046511627907,-0.0,103.94088669950652,349.489762773154,1,-1.3594722700955584,-0.0186046511627907,0.9803377251206835,0.9886008912742801,-0.31306898819645335,-1.1552436822591052,-0.4979759189275908,-0.2823951354761126,-1.0535040626540606,0.3621780421197365,0.5752468304350193,-0.5145412514296223,0.47022939180600487,-0.0,1.0,0.9173913043478271,-2.9736425101369566,0.7494975181718733,-0.7856201247401591,-2.510432434874586,0.16314744050067795,-2.2037837906965274
2001-11-08,1.93,1.84,1.8,2.0,2.42,2.81,3.58,4.05,4.32,5.03,4.87,4.353,4.513666666666667,38.69467223688792,-0.8240780436094737,0.0,0.0236966824644551,0.0,106.40394088669862,349.489762773154,1,-1.4769349391566324,0.0236966824644551,0.9091711114887444,0.9797035748352105,0.12570196294047337,0.09571623616894832,0.5349805347067866,0.3742952942811351,-0.21636725672031804,0.6071693050201997,-0.7965170386864707,0.5511724553328107,0.4695084829912413,0.0,1.0,0.9391304347826098,-2.900671050846508,0.7324537829347255,-0.739390145604713,-0.5365336136617385,0.12117389092709838,-2.910925646899533
2001-11-09,1.92,1.83,1.82,2.02,2.45,2.86,3.62,4.09,4.34,5.05,4.88,4.334,4.5056666666666665,40.31908293984204,-0.8240780436094737,0.0,0.0046296296296295,0.0,106.89655172413704,349.489762773154,1,-1.5763264283621297,0.0046296296296295,0.9981293785286687,0.9085250433226524,0.22737216503905033,0.3340665332694984,-0.17436431692001172,-0.09261990811657489,0.11680425815238113,-0.03202163268872834,-0.7539579110221886,-0.16618880649125137,0.4682951969288812,0.0,1.0,0.9434782608695663,-2.7614147562285956,0.6611773448705162,-0.8192948189226422,-1.1346345274214875,0.3680798538113554,-2.6976063711028133
